category_id,category_name,prompt_id,prompt_text,has_text,expected_texts,expected_counts,no_people
C3,Multi-character interaction,C3-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. 2 students building a baking-soda volcano; one with curly hair and one with long straight hair; safety goggles; foam overflow.",False,,,False
C3,Multi-character interaction,C3-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. 3 friends reading together: one wearing a teal hijab, one with glasses, one with afro curls; beanbags; books red, yellow, blue (3 books total).",False,,"{""friends"": 3, ""books"": 3}",False
C3,Multi-character interaction,C3-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Adult and child gardening: adult in a straw hat, child with a watering can; tomato plants; wooden sign reading ""GARDEN"".",True,GARDEN,,False
C3,Multi-character interaction,C3-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Office trio at a standing desk: sticky notes on the wall, 1 open laptop, 2 coffee mugs; bright midday light.",False,,"{""laptop"": 1, ""coffee_mugs"": 2}",False
C3,Multi-character interaction,C3-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. 2 kids with a brown dog playing fetch; ball mid-air; schoolyard fence.",False,,,False
C4,Classroom / lesson (on-image text),C4-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Teacher at chalkboard writing ""SCIENCE DAY"" in big uppercase letters; chalk dust; periodic table poster.",True,SCIENCE DAY,,False
C4,Classroom / lesson (on-image text),C4-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Whiteboard math mini-lesson: headline ""FRACTIONS""; a pizza diagram with 1/2 shaded; teacher pointing.",True,FRACTIONS|1/2,,False
C4,Classroom / lesson (on-image text),C4-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Classroom bulletin board with paper letters spelling ""WELCOME"" across the top; colorful notes pinned.",True,WELCOME,,False
C4,Classroom / lesson (on-image text),C4-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Hallway poster reading ""WALK, DON'T RUN""; kids walking calmly.",True,"WALK, DON'T RUN",,False
C4,Classroom / lesson (on-image text),C4-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Calendar page for ""MARCH"" with cute clover icons; wall tack.",True,MARCH,,False
C5,Comic / manga layout,C5-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Two-panel manga, black-and-white with screentones. Panel 1: a teacher says ""READY TO LEARN?"". Panel 2: the class replies ""YES!"". Place all text inside speech bubbles or captions only; do not add extra background text.",True,READY TO LEARN?|YES!,,False
C5,Comic / manga layout,C5-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Three-panel color comic. Panel 1: a child says ""I LOST MY BOOK"". Panel 2: a fox mascot says ""FOUND IT!"" while holding a blue book. Panel 3: the child says ""THANK YOU!"" with a small heart icon. Place all text inside speech bubbles or captions only; do not add extra background text.",True,I LOST MY BOOK|FOUND IT!|THANK YOU!,,False
C5,Comic / manga layout,C5-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Two-panel color comic. Panel 1: a teacher points at a chart and says ""STEP ONE"". Panel 2: a friendly robot holds a checklist and says ""STEP TWO"". Place all text inside speech bubbles or captions only; do not add extra background text.",True,STEP ONE|STEP TWO,,False
C5,Comic / manga layout,C5-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. A single horizontal row of 4 equal panels with black borders. Panel captions (not bubbles), left-to-right: ""START"", ""PLAN"", ""BUILD"", ""TEST"". Place all text inside speech bubbles or captions only; do not add extra background text.",True,START|PLAN|BUILD|TEST,,False
C5,Comic / manga layout,C5-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. One large panel with a small inset panel at top-right. Main scene: playground. Inset: a sign reading ""NO LITTERING"". Place all text inside speech bubbles, captions, or the specified signboard only; do not add extra background text.",True,NO LITTERING,,False
C6,Poster / sign / workplace notice,C6-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Bold hygiene poster: headline ""WASH YOUR HANDS"", subhead ""20 SECONDS""; icons of soap and water.",True,WASH YOUR HANDS|20 SECONDS,,False
C6,Poster / sign / workplace notice,C6-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Recycling sign: headline ""RECYCLE""; three bins labeled ""PAPER"", ""PLASTIC"", and ""METAL"".",True,RECYCLE|PAPER|PLASTIC|METAL,,False
C6,Poster / sign / workplace notice,C6-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Safety poster: headline ""WEAR YOUR HELMET""; illustration of a child on a bike.",True,WEAR YOUR HELMET,,False
C6,Poster / sign / workplace notice,C6-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Library sign: ""QUIET PLEASE"" with a cartoon owl.",True,QUIET PLEASE,,False
C6,Poster / sign / workplace notice,C6-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Office notice: ""MEETING AT 10"", subhead ""ROOM B12""; minimal, clean layout.",True,MEETING AT 10|ROOM B12,,False
C7,Instructional diagrams / how-to,C7-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Four-step grid labeled 1-4: how to brush teeth. Captions: ""WET"", ""PASTE"", ""BRUSH"", ""RINSE"".",True,1|2|3|4|WET|PASTE|BRUSH|RINSE,,False
C7,Instructional diagrams / how-to,C7-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Plant life cycle with arrows connecting labels in order: SEED to SPROUT to LEAF to PLANT.",True,SEED|SPROUT|LEAF|PLANT,,False
C7,Instructional diagrams / how-to,C7-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Water cycle diagram with arrows and labels: EVAPORATION to CONDENSATION to RAIN.",True,EVAPORATION|CONDENSATION|RAIN,,False
C7,Instructional diagrams / how-to,C7-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Bow-knot how-to in three steps with labels: ""LOOP"", ""CROSS"", ""PULL"".",True,LOOP|CROSS|PULL,,False
C7,Instructional diagrams / how-to,C7-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Parts of a computer: arrows to labels ""SCREEN"", ""KEYS"", and ""MOUSE"".",True,SCREEN|KEYS|MOUSE,,False
C8,Backgrounds / environments (no people),C8-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Cozy school library interior; warm late-afternoon light; wooden shelves; posters; no people.",False,,,True
C8,Backgrounds / environments (no people),C8-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Playground with slide, swings, and a sandbox; bright midday; cumulus clouds; no people.",False,,,True
C8,Backgrounds / environments (no people),C8-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Rainy city street; reflections on wet pavement; glowing signs; no people.",False,,,True
C8,Backgrounds / environments (no people),C8-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Science lab interior; glassware, cabinets, safety posters; no people.",False,,,True
C8,Backgrounds / environments (no people),C8-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Countryside farm; red barn, windmill, and fence; sunrise; no people.",False,,,True
C9,Props / icon sheets / marking,C9-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Sticker sheet, 3x3 grid, equal-size cells, evenly spaced. Round stickers with cheerful faces and the exact labels: ""GREAT JOB"", ""KEEP GOING"", ""NICE TRY"", ""EXCELLENT"", ""AWESOME"", ""CHECK WORK"", ""ALMOST THERE"", ""WELL DONE"", ""TRY AGAIN"".",True,GREAT JOB|KEEP GOING|NICE TRY|EXCELLENT|AWESOME|CHECK WORK|ALMOST THERE|WELL DONE|TRY AGAIN,,False
C9,Props / icon sheets / marking,C9-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Classroom object icons, 3x3 grid, equal-size cells, evenly spaced. red apple, blue pencil, yellow ruler, green notebook, orange scissors, purple glue stick, brown paintbrush, gray eraser, teal calculator.",False,,,False
C9,Props / icon sheets / marking,C9-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Badge icons, 3x3 grid, equal-size cells, evenly spaced. star, heart, lightning, book, globe, leaf, gear, music note, smiley.",False,,,False
C9,Props / icon sheets / marking,C9-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Emoji-like faces, 3x3 grid, equal-size cells, evenly spaced. happy, sad, surprised, thinking, sleepy, laughing, angry, nervous, proud.",False,,,False
C9,Props / icon sheets / marking,C9-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Traffic-light markers in one image: red circle ""STOP"", yellow circle ""SLOW"", green circle ""GO"".",True,STOP|SLOW|GO,,False
C10,Mechanical / vehicles,C10-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Cute school bus with 3 wide windows, a smiling face on the grill, and simple shadows.",False,,"{""windows"": 3}",False
C10,Mechanical / vehicles,C10-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Cel-shaded bipedal helper robot (blue-white armor) holding a clipboard; simple lab background.",False,,,False
C10,Mechanical / vehicles,C10-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Cartoon bicycle side view, blue frame, basket with flowers; sunny park.",False,,,False
C10,Mechanical / vehicles,C10-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Toy-like quadcopter drone hovering with visible prop blur; 4 rotors; home office background.",False,,"{""rotors"": 4}",False
C10,Mechanical / vehicles,C10-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Steam locomotive, red-and-black body with white steam clouds; countryside track.",False,,,False
